anio,mes,dia,hora(utc),altura(mm)
2016,1,29,17,66 
2016,1,29,18,69 
2016,1,29,19,88 
2016,1,29,20,123 
2016,1,29,21,163 
2016,1,29,22,204 
2016,1,29,23,242 
2016,1,30,0,269 
2016,1,30,1,276 
2016,1,30,2,263 
2016,1,30,3,233 
2016,1,30,4,195 
2016,1,30,5,156 
2016,1,30,6,123 
2016,1,30,7,101 
2016,1,30,8,91 
2016,1,30,9,91 
2016,1,30,10,103 
2016,1,30,11,123 
2016,1,30,12,141 
2016,1,30,13,149 
2016,1,30,14,147 
2016,1,30,15,138 
2016,1,30,16,125 
2016,1,30,17,118 
2016,1,30,18,120 
2016,1,30,19,130 
2016,1,30,20,151 
2016,1,30,21,183 
2016,1,30,22,216 
2016,1,30,23,248 
2016,1,31,0,275 
2016,1,31,1,288 
2016,1,31,2,282 
2016,1,31,3,258 
2016,1,31,4,219 
2016,1,31,5,172 
2016,1,31,6,127 
2016,1,31,7,91 
2016,1,31,8,67 
2016,1,31,9,56
2016,1,31,10,58 
2016,1,31,11,78
2016,1,31,12,107 
2016,1,31,13,131 
2016,1,31,14,146 
2016,1,31,15,156 
2016,1,31,16,161 
2016,1,31,17,164 
2016,1,31,18,168 
2016,1,31,19,175 
2016,1,31,20,187 
2016,1,31,21,209 
2016,1,31,22,237 
2016,1,31,23,263
